volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
WilkTMH3bio,1790,1790,1739,1790,,,61002,0.552616935193,0,1,99,"Wilkinson, Tate,",MEMOIRS OF HIS OWN LIFE BY TATE WILKINSON PATENTEE OF THE THEATRES-ROYAL YORK & HULL.,bio
nnc1.0111857374,1809,1809,1809,1809,,,87814,0.576295763321,1,1,97,"Le Sage, Alain René,",The adventures of Gil Blas of Santillane,fic
uiuo.ark+=13960=t6tx3wm62,1810,1810,1810,1810,,,39472,0.640901532248,1,1,99,"Walsh,","The officer's daughter; or, A visit to Ireland in 1790",fic
dul1.ark+=13960=t4vh67297,1802,1802,1802,1802,,,62286,0.539498458785,1,1,99,"Grafigny,",Letters of a Peruvian princess,fic
BoswJLSbio,1791,1791,1740,1791,,,238735,0.470008223572,0,1,99,"Boswell, James,",THE LIFE OF SAMUEL JOHNSON LL.D. COMPREHENDING AN ACCOUNT OF HIS STUDIES AND NUMEROUS WORKS IN CHRONOLOGICAL ORDER; A SERIES OF HIS EPISTOLARY CORRESPONDENCE AND CONVERSATIONS WITH MANY EMINENT PERSONS; AND VARIOUS ORIGINAL PIECES OF HIS COMPOSITION NEVER BEFORE PUBLISHED. THE WHOLE EXHIBITING A VIEW OF LITERATURE AND LITERARY MEN IN GREAT-BRITAIN FOR NEAR HALF A CENTURY DURING WHICH HE FLOURISHED. IN TWO VOLUMES. BY JAMES BOSWELL ESQ.,bio
nyp.33433001022502,1814,1814,1814,1814,,,89912,0.663377945216,1,1,99,"Lafontaine, August Heinrich Julius,","A tale of ancient times, entitled Romulus",fic
uiuo.ark+=13960=t2k65383v,1819,1819,1819,1819,,,67815,0.640733160573,1,1,99,"Rennie,.",Saint Patrick,fic
mdp.39015073763404,1800,1800,1800,1800,,,153273,0.338048614159,0,1,97,"Coxe, William,","Memoirs of the life and administration of Sir Robert Walpole, earl of Orford",bio
nyp.33433082360664,1803,1803,1803,1803,,,223716,0.372340860866,0,1,99,"Godwin, William,","Life of Geoffrey Chaucer, the early English poet",bio
mdp.39015065543079,1790,1790,1790,1790,,,99946,0.422434382914,0,1,99,"Richelieu, Louis François Armand du Plessis,","Mémoires du maréchal duc de Richelieu, pair de France",bio
njp.32101073819607,1796,1796,1796,1796,,,248039,0.52133627614,0,1,98,"Roland,",An appeal to impartial posterity,bio
uc2.ark+=13960=t90864w4j,1798,1798,1798,1798,,,35451,0.58599102422,1,1,98,"Sterne, Laurence,",The works of Laurence Sterne,fic
nyp.33433074874748,1796,1796,1796,1796,,,63096,0.697210187455,1,1,98,"Lewis, M. G.",The monk,fic
nyp.33433082376868,1814,1814,1814,1814,,,39777,0.561429361381,0,1,99,"Janeway, James,","Invisibles, realities, demonstrated in the holy life and triumphant death of Mr. John Janeway",bio
uc1.b3506119,1812,1812,1812,1812,,,288761,0.351275976524,0,1,99,"Baker, David Erskine,",Biographia dramatica,bio
mdp.39015008297577,1802,1802,1802,1802,,,240784,0.366161134961,0,1,97,"Coxe, William,","Memoirs of Horatio, lord Walpole",bio
nyp.33433066658612,1793,1793,1793,1793,,,103875,0.304916713259,0,1,99,"Belsham, William,",Memoirs of the kings of Great Britain of the house of Brunswic-Lunnenburg,bio
mdp.39015008355854,1815,1815,1815,1815,,,124642,0.361538455416,0,1,97,"Coxe, William,","Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788",bio
mdp.39015058467419,1816,1816,1816,1816,,,125188,0.336999647745,0,1,99,"Guillaume de Vaudoncourt, Frédéric,",Memoirs on the Ionian Islands,bio
njp.32101073590430,1808,1808,1808,1808,,,232187,0.399590534461,0,1,99,"Jortin, John,",The life of Erasmus,bio
nyp.33433082536891,1799,1799,1799,1799,,,453615,0.28415204112,0,1,98,"Aikin, John,",General biography;,bio
mdp.39015065449707,1808,1808,1808,1808,,,77490,0.303050528583,0,1,99,"Dalrymple, Hew Whiteford,","Minutes of the proceedings of the Court of Inquiry upon the Treaty of Armistice and Convention of Cintra, and upon the conduct, behaviour, and proceedings of Lieutenant-General Sir Hew Dalrymple Knt",bio
nyp.33433069349441,1819,1819,1819,1819,,,55938,0.427209007081,0,1,99,"Macleay, K.",Historical memoirs of Rob Roy and the clan Macgregor;,bio
hvd.hn27x7,1795,1795,1795,1795,,,81059,0.460459383109,0,1,99,"Bownas, Samuel,","An account of the life, travels, and Christian experiences in the work of the ministry of Samuel Bownas",bio
njp.32101060186325,1807,1807,1807,1807,,,22050,0.4469194887,1,1,99,"Martin, Maria,",History of the captivity and sufferings of Mrs. Maria Martin,fic
hvd.hxj3k8,1818,1818,1818,1818,,,147752,0.401776943771,0,1,99,"Aikin, Lucy,",Memoirs of the court of Queen Elizabeth,bio
njp.32101037019443,1797,1797,1797,1797,,,53593,0.510577387792,1,1,99,"Marshall, Edmund.","Edmund and Eleonora, or, Memoirs of the houses of Summerfield & Gretton, a novel",fic
nyp.33433082336474,1810,1810,1810,1810,,,37090,0.442256118964,0,1,99,"Clarke, Mary Anne Thompson,",The rival princes;,bio
njp.32101067675791,1797,1797,1797,1797,,,109109,0.495679301148,0,1,99,"Scott, Job,","Journal of the life, travels and gospel labours of that faithful servant and minister of Christ, Job Scott",bio
hvd.hxjf9g,1810,1810,1810,1810,,,152317,0.340554605349,0,1,99,"Almon, John,","Anecdotes of the life of the Right Hon. William Pitt, earl of Chatham, and of the principal events of his time",bio
mdp.39015038638337,1797,1797,1797,1797,,,232853,0.409386340974,0,1,98,"Barruel,",Memoirs,bio
CumbRHI4fic,1795,1795,1732,1795,,,61958,0.640965254921,1,1,98,"Cumberland, Richard,",HENRY; IN FOUR VOLUMES.,fic
uiuo.ark+=13960=t6b28ds6f,1801,1801,1801,1801,,,36779,0.531801266588,1,1,99,"Acton, Eugenia de,",The microcosm,fic
mdp.39015038697986,1804,1804,1804,1804,,,238196,0.336525132559,0,1,99,"Beatson, Robert,","Naval and military memoirs of Great Britain, from 1727 to 1783",bio
nyp.33433088118736,1798,1798,1798,1798,,,156891,0.410126301227,0,1,99,"Butler, Alban,","The lives of the primitive fathers, martyrs, and other principal saints",bio
hvd.32044029893195,1805,1805,1805,1805,,,76150,0.549593289322,1,1,99,"Guyon, Jeanne Marie Bouvier de La Motte,",The life of Lady Guion,fic
nyp.33433082390745,1795,1795,1795,1795,,,63550,0.36727839786,0,1,99,"Waldron, F. G.",The biographical mirrour,bio
mdp.39015067116650,1809,1809,1809,1809,,,70261,0.512120846254,0,1,99,"[Porter, Robert Ker]",Letters from Portugal and Spain,bio
mdp.39015008830518,1809,1809,1809,1809,,,51922,0.589639499175,1,1,99,"Grant, Anne MacVicar,",Letters from the mountains;,fic
uc2.ark+=13960=t9v12g15s,1797,1797,1797,1797,,,132432,0.388555589518,0,1,99,anonymous9,Biographical anecdotes of the founders of the French Republic,bio
wu.89094712072,1806,1806,1806,1806,,,159673,0.42255885632,0,1,99,"Cayley, Arthur,","The life of Sir Walter Ralegh, knt",bio
uc2.ark+=13960=t14m94n5h,1806,1806,1806,1806,,,193323,0.32537931808,0,1,99,"Pitt, William,","The speeches of the Right Honourable William Pitt, in the House of commons",bio
