docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,poe_quarter_1870
loc.ark+=13960=t8sb4zz1q,1921,1921,1921,addcanon,537314.0,,"Lawrence, D. H.",New York;T. Seltzer;1921.,,Tortoises,,,,,,1885,m,uk,,,y,0.7870136958938779
uc1.b3342759,1919,1919,1919,random,7930862.0,,"Wigren, Bessie C.",Boston;The Poet Lore Company;c1919,,Summer wind,,,,,,1874,f,us,,,,0.37794300160017485
uc1.b4100590,1918,1918,1918,reviewed,6154122.0,2143179.0,"Waugh, Alec,",London;G. Richards;1918.,,Resentment,rev,,,1918.0,EGO,1898,m,uk,,,,0.739676785496541
uc1.b3340220,1918,1918,1918,reviewed,7917249.0,12688503.0,"Nightingale, M.",Oxford [Oxfordshire;B.H. Blackwell;1918.,,Verses wise and otherwise,rev,neg,,1919.0,EGO,1879,f,uk,,,,0.5194767001680678
uc2.ark+=13960=t0ft8gj1k,1918,1918,1918,reviewed,7657411.0,2518108.0,"Faber, Geoffrey,","Oxford;B. H. Blackwell;New York;Longmans, Green & Co.;1918.",,In the valley of vision,rev,,,1918.0,EGO,1889,m,uk,,,,0.6196984688470561
uc2.ark+=13960=t6k070h7g,1918,1918,1918,reviewed,6607061.0,2809404.0,"Farjeon, Eleanor,","Oxford;B.H. Blackwell;New York;Sold in America by Longmans, Green;1918",,Sonnets and poems,rev,,,1918.0,EGO,1881,f,uk,,,,0.6455196864886021
miun.abr7660.0001.001,1918,1918,1918,reviewed,389498.0,736313.0,"Ford, Ford Madox,",London;John Lane;New York;John Lane company;1918.,,"On Heaven, and poems written on active service",rev,,,1918.0,EGO,1873,m,uk,,,,
mdp.39015008296884,1918,1918,1918,random,1187193.0,,"Thomas, Edward,",London;Selwyn & Blount;1918.,,Last poems,,,,,,1878,m,uk,,Well-known,y,0.7005254851801918
njp.32101067680247,1918,1918,1918,random,8963885.0,,"Carmichael, Amy,",Edinburgh;Oliphant;1918,,Made in the pans,,,,,,1867,f,uk,,,,0.579396607147137
loc.ark+=13960=t3902s17h,1918,1918,1918,random,9577666.0,,"Gruse, Edward.",Boston;The Gorham Press;1918.,,Echoes of democracy,,,,,,1884,m,us,,,,0.4598168887825102
loc.ark+=13960=t40s0803k,1918,1918,1918,random,9568238.0,,"Jenness, Burt Franklin,","Boston, The Cornhill Company;c1918",,Man-o'-war rhymes,,,,,,1876,m,us,,,,0.5414630958445699
loc.ark+=13960=t7pn9zm6f,1918,1918,1918,random,7665565.0,,"McClure, John Peebles,",New York;A. A. Knopf;1918.,,Airs and ballads,,,,,,1893,m,us,,,,0.6641046589226035
mdp.39015013402501,1918,1918,1918,addcanon,537645.0,,"Lawrence, D. H.",New York;B. W. Huebsch;1918.,,Look! We Have Come Through,,,,,,1885,m,uk,,,y,0.824627026051908
uc1.b3626228,1917,1917,1917,reviewed,309384.0,795110.0,"Aiken, Conrad,",Boston;The Four Seas Company;1917.,,"Nocturne of remembered spring, and other poems",rev,,,1918.0,EGO,1889,m,us,,,,0.8552782958605759
uc2.ark+=13960=t80k27j8j,1917,1917,1917,reviewed,1838375.0,1006049.0,"Eliot, T. S.",London;The Egoist Ltd. ...;1917.,,Prufrock and other observations,rev,pos,,1917.0,EGO,1888,m,us,,,y,0.681206671736006
