docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,path,authsvols,publisher,segment1875
uc2.ark+=13960=t55d8p14j,1854,1843,1843.0,vulgar,,,"Stephens, Ann S",Philadelphia;T. B. Peterson;c1854.,,High life in New York,,,,,,1810.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/55/d8/p1/4j/ark+=13960=t55d8p14j/uc2.ark+=13960=t55d8p14j.json.bz2,47,Peterson,0.7433403305271863
nyp.33433075741789,1852,1845,1845.0,vulgar,,,"Reynolds, George W. M",London;J. Dicks;1852-64.,,The mysteries of the court of London,,,,,,1814.0,m,uk,,,,nyp/pairtree_root/33/43/30/75/74/17/89/33433075741789/nyp.33433075741789.json.bz2,61,Dicks,0.3029639074949068
uc1.b249620,1853,1848,1848.0,vulgar,,,"Peppergrass, Paul",Boston;P. Donahoe;1853.,,"Shandy M'Guire, or, Tricks upon travellers : being a story of the north of Ireland",,,,,,1810.0,m,ir,,,,uc1/pairtree_root/$b/24/96/20/$b249620/uc1.$b249620.json.bz2,4,Donahoe,0.2965861851076785
njp.32101073308494,1852,1849,1849.0,vulgar,,,"Manning, Anne",New York;D. Appleton;1852.,,"The maiden & married life of Mary Powell, afterwards Mistress Milton",,,,,,1807.0,f,uk,,,,njp/pairtree_root/32/10/10/73/30/84/94/32101073308494/njp.32101073308494.json.bz2,66,Appleton,0.3068884728803045
uc2.ark+=13960=t4wh2fh9b,1850,1850,1850.0,vulgar,,,"Leighton, John",London;William Tegg and Co.;1850.,,Christmas comes but once a year,,,,,,1822.0,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/4w/h2/fh/9b/ark+=13960=t4wh2fh9b/uc2.ark+=13960=t4wh2fh9b.json.bz2,2,William Tegg,0.3273020023992086
uc2.ark+=13960=t10p0ww49,1866,1850,1850.0,elite,7680433.0,362799339,"Hawthorne, Nathaniel",Boston;Ticknor and Field;1866.,<blank>,The scarlet letter,rev,<blank>,<blank>,1855,ER,1804.0,m,us,,,,,437,Ticknor Field,0.606564552456579
mdp.39015031908893,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.1,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/88/93/39015031908893/mdp.39015031908893.json.bz2,231,Bentley,0.33419716055166293
uc1.b3579114,1850,1850,1850.0,vulgar,,,"Kimball, Richard B",New York;G.P. Putnam;1850.,,"Saint Leger, or, The threads of life",,,,,,1816.0,m,us,,,,uc1/pairtree_root/b3/57/91/14/b3579114/uc1.b3579114.json.bz2,18,Putnam,0.14965263639517293
uc2.ark+=13960=t6m043s5h,1860,1850,1850.0,vulgar,,,"Hall, S. C",London;Hurst and Blackett;1860.,,Stories of the Irish peasantry,,,,,,1800.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/6m/04/3s/5h/ark+=13960=t6m043s5h/uc2.ark+=13960=t6m043s5h.json.bz2,60,Hurst Blackett,0.19338792116988335
mdp.39015031909669,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.3,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/96/69/39015031909669/mdp.39015031909669.json.bz2,231,Bentley,0.626876919510091
mdp.39015031908901,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.2,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/89/01/39015031908901/mdp.39015031908901.json.bz2,231,Bentley,0.4236632204077769
uiuo.ark+=13960=t2697np18,1851,1850,1850.0,vulgar,,,"Lytton, Rosina Bulwer Lytton",London;W. Shoberl;1851.,,"Miriam Sedley; or, The tares and the wheat",,,,,,1802.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/26/97/np/18/ark+=13960=t2697np18/uiuo.ark+=13960=t2697np18.json.bz2,35,Shoberl,0.40525835756565654
uc1.b3548184,1850,1850,1850.0,vulgar,,,"Warburton, Eliot",New York;Harper;1850.,,Reginald Hastings,,,,,,1810.0,m,ir,,,,uc1/pairtree_root/b3/54/81/84/b3548184/uc1.b3548184.json.bz2,4,Harper,0.1856772997875378
uiuo.ark+=13960=t5fb5p49z,1851,1851,1851.0,elite,8718921.0,10571983,"Ponsonby, Emily",London;Colburn;1851.,v.1,"Clare Abbey, or, The trials of youth",rev,<blank>,<blank>,1853,ER,1817.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/p4/9z/ark+=13960=t5fb5p49z/uiuo.ark+=13960=t5fb5p49z.json.bz2,33,Colburn,0.50450140202057
uiuo.ark+=13960=t9086r70j,1851,1851,1851.0,vulgar,,,"Daniel, Mackenzie",London;T.C. Newby;1851.,,Fernley Manor,,,,,,1823.0,f,uk,"Mrs R Mackenzie Daniel, née Elizabeth Daniel",,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/90/86/r7/0j/ark+=13960=t9086r70j/uiuo.ark+=13960=t9086r70j.json.bz2,12,Newby,0.16785831665567416
uc2.ark+=13960=t2h708h89,1851,1851,1851.0,vulgar,,,"Pearson, Emily C","Hartford;Brockett, Fuller and co.;1851.",,"Jamie Parker, the fugitive",,,,,,1818.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/2h/70/8h/89/ark+=13960=t2h708h89/uc2.ark+=13960=t2h708h89.json.bz2,2,Hartford Brockett Fuller,0.07228699417329358
nyp.33433074872015,1851,1851,1851.0,vulgar,,,"Howitt, Mary Botham",New York;D. Appleton;1851.,,The heir of Wast-Wayland,,,,,,1799.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/87/20/15/33433074872015/nyp.33433074872015.json.bz2,61,Appleton,0.2465235772104375
uiuo.ark+=13960=t0tq6857p,1851,1851,1851.0,elite,8721272.0,8813745,"Dalrymple, J. Elphinstone",London;Colburn;1851.,v.1,The Livingstones,rev,neg,<blank>,1852,TEM,,f,uk,Mrs,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/85/7p/ark+=13960=t0tq6857p/uiuo.ark+=13960=t0tq6857p.json.bz2,3,Colburn,0.15963338668168062
uc2.ark+=13960=t4rj4df5z,1869,1851,1851.0,vulgar,,,"Mitchell, Donald Grant","New York;C. Scribner and company;1869, [c1863",,Dream life,,,,,,1822.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/4r/j4/df/5z/ark+=13960=t4rj4df5z/uc2.ark+=13960=t4rj4df5z.json.bz2,60,Scribner,0.4965422612447732
